track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_popularity,youtube_views,youtube_likes,pandora_streams,pandora_track_stations,soundcloud_streams,shazam_counts,explicit_track,release_year
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,1,725.4,390470936.0,92.0,84274754.0,1713126.0,18004655.0,22931.0,4818457.0,2669262.0,0,2024
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,2,545.9,323703884.0,92.0,116347040.0,3486739.0,7780028.0,28444.0,6623075.0,1118279.0,1,2024
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,3,538.4,601309283.0,92.0,122599116.0,2228730.0,5022621.0,5639.0,7208651.0,5285340.0,0,2024
Houdini,Houdini,Eminem,2024-05-31,USUG12403398,5,423.3,107034922.0,88.0,77373957.0,3670188.0,4493884.0,7006.0,207179.0,457017.0,1,2024
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,6,410.1,670665438.0,83.0,131148091.0,1392593.0,138529362.0,50982.0,9438601.0,4517131.0,1,2023
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,7,407.2,900158751.0,86.0,308723145.0,4120760.0,65447476.0,57372.0,3224599.0,9990302.0,0,2024
Gata Only,Gata Only,FloyyMenor,2024-02-02,QZL382406049,8,375.8,675079153.0,92.0,228382568.0,1439495.0,3372428.0,5762.0,3224599.0,6063523.0,1,2024
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,10,330.6,90676573.0,86.0,32735244.0,988682.0,1005626.0,842.0,3679709.0,666302.0,1,2024
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,USUM72404990,11,322.1,250080413.0,91.0,32229063.0,550191.0,23155471.0,21172.0,1594605.0,963413.0,1,2024
The Door,The Door,Teddy Swims,2024-06-14,USWB12402486,12,320.2,111155129.0,67.0,148269610.0,1257935.0,12735768.5,7832.0,3224599.0,854584.0,1,2024
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401991,13,316.3,221636195.0,92.0,40022524.0,1307290.0,1354692.0,1219.0,1313357.0,450344.0,0,2024
Like That,WE DON'T TRUST YOU,Future,2024-03-22,USSM12402041,14,308.2,355186436.0,88.0,98081493.0,1456177.0,26252264.0,18364.0,12038034.0,1963314.0,1,2024
bathroom floor,bathroom floor,Kids With Buns,2022-10-07,NLC242100307,15,301.6,297185.0,12.0,6736502312.0,16785489.0,12735768.5,7832.0,3224599.0,3288.0,0,2022
LALA,LALA - Single,Myke Towers,2023-03-22,USWL12300002,16,299.9,925655569.0,79.0,934302031.0,4294166.0,12171026.0,13242.0,871978.0,2765808.0,1,2023
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401028,17,297.6,395433400.0,89.0,104673836.0,2484083.0,9961769.0,13437.0,377734.0,1210029.0,0,2024
greedy,greedy,Tate McRae,2023-09-14,USRC12301932,18,293.7,1258569694.0,87.0,141646818.0,1514837.0,44850379.0,12270.0,3224599.0,6973652.0,1,2023
BLUE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401996,19,292.6,91272461.0,86.0,16038053.0,569377.0,283089.0,162.0,975891.0,257661.0,0,2024
Paint The Town Red,Paint The Town Red,Doja Cat,2023-08-04,USRC12300907,21,290.5,1065399331.0,78.0,240970670.0,2749668.0,70291476.0,49111.0,3224599.0,7559816.0,1,2023
Espresso,Espresso,Sabrina Carpenter,2024-04-12,USUM72403305,22,281.5,547882871.0,95.0,107550212.0,1825761.0,10362898.0,10848.0,1551157.0,1373085.0,1,2024
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2024-02-10,USSM12401302,24,278.9,426700979.0,86.0,35724356.0,437980.0,13860535.0,36282.0,3224599.0,2100708.0,1,2024
Future,Future,official sound studio,2024-01-10,RUA1H2415548,25,277.5,239850720.0,67.0,148269610.0,1257935.0,12735768.5,7832.0,3224599.0,854584.0,0,2024
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,2022-05-24,BXWEH2200054,26,268.1,7382759.0,35.0,4233958.0,69990.0,12735768.5,7832.0,3224599.0,633525.0,0,2022
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,2015-12-01,KRE671700001,28,265.7,720822868.0,71.0,16322756555.0,48757673.0,86458847.0,2234137.0,3224599.0,2064420.0,0,2015
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,2024-03-08,USUM72317276,29,262.8,591068364.0,87.0,156882014.0,3080503.0,10106573.0,7689.0,1612479.0,1579980.0,0,2024
Numb / Encore,Papercuts,JAY-Z,2024-04-12,USWB12400678,30,256.0,1003215671.0,67.0,148269610.0,1257935.0,179867721.0,87209.0,3224599.0,4474248.0,1,2024
SHEESH,BABYMONS7ER,BABYMONSTER,2024-04-01,KRA402400016,32,237.5,124893397.0,82.0,359896095.0,4907193.0,130743.0,592.0,265670.0,191867.0,0,2024
Water,Water,Tyla,2023-07-28,USSM12305126,33,234.6,670376179.0,83.0,265180930.0,2566846.0,40418532.0,27555.0,6049784.0,6447136.0,0,2023
Strangers,Strangers,Kenya Grace,2023-09-01,USWB12305048,34,233.5,750154960.0,79.0,118208096.0,1495758.0,20228317.0,5331.0,10938075.0,7477917.0,0,2023
Too Sweet,Unreal Unearth: Unheard,Hozier,2024-03-22,USSM12401865,35,231.6,532012790.0,67.0,62123098.0,923733.0,31032977.0,23005.0,1516649.0,854584.0,0,2024
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,2024-04-26,GBAYE2300351,36,230.0,479417905.0,67.0,148269610.0,1257935.0,121250721.0,83632.0,3224599.0,3692067.0,0,2024
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,2024-04-12,USUYG1541249,37,226.4,311928522.0,96.0,62694868.0,837616.0,21453034.0,30180.0,4482348.0,1707213.0,1,2024
Lose Control,Lose Control,Teddy Swims,2023-06-23,USWB12302315,38,224.1,775135157.0,87.0,139180960.0,1504385.0,253538985.0,72429.0,5409388.0,10517831.0,0,2023
fukumean,fukumean,Gunna,2023-06-15,USAT22306575,39,221.1,759998727.0,80.0,94699547.0,1222012.0,64456799.0,20518.0,33130829.0,3945184.0,1,2023
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401994,41,212.8,214237645.0,92.0,11033725.0,251373.0,840442.0,2592.0,1369981.0,285858.0,0,2024
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,2023-04-08,KRA252300672,42,211.2,170970614.0,41.0,22280037.0,334523.0,270610.0,3170.0,3224599.0,854584.0,1,2023
Daylight,Daylight,David Kushner,2023-04-14,QZXDB2300005,44,207.0,1126820069.0,82.0,274070101.0,3701289.0,28924685.0,14634.0,9505098.0,8681350.0,0,2023
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,2023-09-15,USJ5G2335007,45,206.2,997702304.0,86.0,48093111.0,959175.0,6151267.0,9160.0,7980051.0,2682219.0,0,2023
Please Please Please,Please Please Please,Sabrina Carpenter,2024-06-06,USUM72404101,46,205.7,59314441.0,83.0,22374807.0,1026097.0,360163.0,758.0,9883.0,47115.0,1,2024
Houdini,Houdini - Single,Dua Lipa,2023-11-09,GBAHT2301246,47,205.1,493627071.0,80.0,150571504.0,1575378.0,25843941.0,3694.0,1991527.0,2389957.0,0,2023
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2023-02-10,GBUM72300969,49,203.6,304929492.0,69.0,61986821.0,921044.0,7444354.0,7188.0,3224599.0,2227494.0,1,2023
euphoria,euphoria,Kendrick Lamar,2024-04-30,USUG12402839,51,202.1,168434320.0,86.0,53604746.0,1846535.0,3156727.0,4843.0,4304870.0,654482.0,1,2024
Panda Basi,Panda Basi - EP,Mvua,2023-02-10,GX3Q92333626,52,200.3,104271.0,25.0,2457026781.0,1257935.0,12735768.5,7832.0,3224599.0,1881.0,0,2023
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,2022-08-25,NGA3B2214021,53,198.0,1391688322.0,77.0,902742581.0,8099187.0,52073859.0,41487.0,5820026.0,3521951.0,0,2022
Mitu,Mitu - Single,Maian,2023-01-19,EEUM72300001,55,194.3,55346.0,13.0,2432265978.0,8162101.0,12735768.5,7832.0,3224599.0,200.0,0,2023
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,2022-12-02,USUG12208791,57,192.3,1337619917.0,80.0,193982443.0,2023998.0,77382416.0,28694.0,3224599.0,6205060.0,1,2022
Dona Felicidade,Dona Felicidade,Patati Patatï¿,2024-06-04,QZNJW2423715,58,190.0,239850720.0,67.0,52480069.0,82092.0,12735768.5,7832.0,3224599.0,854584.0,0,2024
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,2024-06-05,ROCMA2413380,61,187.9,239850720.0,9.0,148269610.0,1257935.0,420235997.0,885123.0,3224599.0,854584.0,0,2024
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,2023-12-31,RUA1H2406425,62,186.5,1384.0,67.0,222076.0,5430.0,12735768.5,7832.0,3224599.0,854584.0,0,2023
Supernova,Supernova,aespa,2024-05-13,KRA302400090,63,186.1,69729033.0,81.0,111310770.0,1724693.0,45515.0,100.0,255951.0,63283.0,0,2024
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,2024-03-29,USCM52400059,65,181.4,199929812.0,67.0,148269610.0,1257935.0,390345308.0,399793.0,3224599.0,854584.0,1,2024
Calm Down,Calm Down,Rema,2022-02-10,NGA3B2214004,66,180.1,584427088.0,68.0,1141904909.0,8766235.0,98290873.0,46039.0,14668216.0,22563407.0,0,2022
CARNIVAL,CARNIVAL,ýý$,2024-02-08,QZ7XS2400012,67,179.6,466887055.0,84.0,27688666.0,449112.0,1359484.0,11303.0,11703609.0,1982000.0,1,2024
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,2023-07-13,USUM72307484,69,177.6,891720245.0,82.0,144741616.0,2761964.0,39374594.0,19921.0,5418596.0,4476509.0,0,2023
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,2023-03-03,QZA742305720,70,176.2,46567.0,6.0,2038459981.0,6076902.0,1456.0,7832.0,3224599.0,903.0,0,2023
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,2023-01-11,UYB282301031,73,174.3,946941510.0,74.0,776436101.0,12951756.0,48806666.0,10225.0,3224599.0,2237762.0,0,2023
The Way We Move - Extended Mix,The Way We Move,PowerDress,2023-03-10,UKACT2330463,74,173.6,7909.0,4.0,1999374091.0,5708577.0,12735768.5,7832.0,3224599.0,1412.0,0,2023
Old Town Road,Old Town Road,Lil Nas X,2019-03-14,USSM11901941,75,170.3,1010494713.0,67.0,3203314695.0,41487213.0,181784010.0,2022074.0,106880548.0,8856633.0,0,2019
un x100to,un x100to,Grupo Frontera,2023-04-17,QM6N22311285,76,170.2,1008495696.0,75.0,878892413.0,4425283.0,55857743.0,15528.0,3224599.0,2283747.0,0,2023
Laxed ï¿½ï¿½ï¿½ Sire,Laxed (Siren Beat),Jawsh 685,2020-04-24,NZAM02001128,77,168.9,239850720.0,67.0,12489728.0,339414.0,5678792.0,7832.0,3224599.0,854584.0,0,2020
Sprinter,Sprinter - Single,Dave,2023-06-01,GBUM72305159,78,168.1,692512930.0,78.0,219666692.0,2332307.0,411656.0,3414.0,12405917.0,3093667.0,1,2023
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401988,79,167.8,169410711.0,90.0,19402457.0,997411.0,521322.0,698.0,1680434.0,388625.0,0,2024
TQG,TQG,KAROL G,2023-02-23,USUM72222541,80,167.8,1024381758.0,78.0,1102289596.0,8953293.0,68022934.0,16511.0,164895.0,3488226.0,1,2023
Peekaboo,Glide - Single,Dave Angel,2023-01-27,GBLTF2300027,83,167.2,8082.0,67.0,2055940513.0,4150967.0,12735768.5,7832.0,3224599.0,442.0,0,2023
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,2023-03-16,USE7D2300007,84,166.5,1215336974.0,74.0,701880622.0,3831236.0,84378219.0,53890.0,17115523.0,3435177.0,0,2023
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,2023-05-25,USAT22305457,85,166.2,860026452.0,80.0,173044031.0,1640319.0,64567514.0,22064.0,1843883.0,3199636.0,0,2023
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,2023-03-17,MXF152300159,86,164.9,1032225805.0,79.0,920878032.0,3118229.0,55410702.0,27415.0,230579.0,2635577.0,1,2023
redrum,american dream,21 Savage,2024-01-12,USSM12309164,87,164.8,428233003.0,67.0,105148629.0,1762297.0,16802867.0,11821.0,3224599.0,2490071.0,1,2024
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,2023-05-12,USQX92302957,90,162.0,333202114.0,68.0,203487345.0,2084532.0,90114807.0,46789.0,16620102.0,4207535.0,1,2023
Magnetic,SUPER REAL ME,ILLIT,2024-03-25,USA2P2413259,93,161.0,255076355.0,86.0,202206901.0,2596912.0,220481.0,1207.0,556784.0,659825.0,0,2024
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,2023-07-28,USSD12300307,94,158.2,275349653.0,70.0,347506860.0,1553295.0,5101044.0,5276.0,3224599.0,1245874.0,1,2023
La Diabla,La Diabla - Single,Xavi,2023-12-02,USA2P2357356,95,155.9,649404552.0,83.0,433839212.0,2750086.0,22603598.0,29401.0,3224599.0,1380069.0,0,2023
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2023-02-03,GBAYE2300015,96,153.6,851085705.0,70.0,211810152.0,2461166.0,10207007.0,36847.0,13896129.0,2580691.0,1,2023
Snooze,SOS,SZA,2022-12-09,USRC12204591,97,153.3,1013350808.0,84.0,390677417.0,2521214.0,74611167.0,85113.0,17702595.0,3129609.0,1,2022
BELLAKEO,BELLAKEO,Peso Pluma,2023-12-07,QMFMF2388143,98,153.1,359803580.0,86.0,369321334.0,1839225.0,20058510.0,7289.0,3224599.0,1002835.0,1,2023
Agora Hills,Scarlet,Doja Cat,2023-09-22,USRC12301954,99,152.8,509653100.0,67.0,48045203.0,986278.0,23110274.0,19559.0,3224599.0,4295361.0,1,2023
Prada,Prada,cassï¿,2023-08-11,GBCEN2300147,100,152.5,609699748.0,83.0,47611547.0,418343.0,1210830.0,1073.0,25956265.0,854584.0,1,2023
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,2024-05-02,GXD7G2413058,101,152.3,5157486.0,67.0,1278618.0,27849.0,12735768.5,7832.0,3224599.0,47658.0,0,2024
Lil Boo Thang,Lil Boo Thang,Paul Russell,2023-08-18,USAR12300323,102,152.1,242070373.0,76.0,22907992.0,261664.0,84425715.0,30713.0,670026.0,2219984.0,0,2023
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,2023-10-13,QMFME2364182,103,150.7,478150858.0,78.0,113379734.0,1312763.0,17823388.0,12664.0,4374049.0,2255465.0,1,2023
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,2020-04-24,USSM12002399,104,150.5,61382407.0,43.0,9977490.0,201210.0,12735768.5,7832.0,3224599.0,3819161.0,0,2020
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,2023-06-15,GBBKS2300080,105,150.4,460156070.0,77.0,8183226.0,98257.0,1132923.0,1312.0,9451176.0,9279625.0,0,2023
Training Season,Training Season,Dua Lipa,2024-02-15,GBAHT2301078,106,148.9,251153869.0,76.0,66691067.0,961957.0,10305245.0,3796.0,776717.0,2047771.0,0,2024
Type Shit,WE DON'T TRUST YOU,Future,2024-03-22,USSM12402033,107,148.1,205206688.0,84.0,39453253.0,672789.0,5897303.0,4527.0,7571301.0,900933.0,1,2024
Armageddon,Armageddon - The 1st Album,aespa,2024-05-27,KRA302400093,108,147.4,32942304.0,74.0,57861795.0,1257935.0,21869.0,48.0,139164.0,29736.0,0,2024
Pedro,Pedro - Single,Jaxomy,2024-03-29,DEE862400427,111,144.6,168145583.0,85.0,35008949.0,717214.0,39577.0,482.0,3634381.0,2408838.0,0,2024
Fast Car,Gettin' Old,Luke Combs,2023-03-24,US6XF2200436,112,144.5,518988585.0,80.0,107703759.0,768813.0,184924061.0,88890.0,728039.0,3108167.0,0,2023
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,2024-01-07,JPU902305042,113,144.0,247399972.0,80.0,389540239.0,4392933.0,537267.0,1928.0,3224599.0,1069500.0,0,2024
Aesthetic,Aesthetic,Tollan Kim,2022-03-04,SGB502208576,114,144.0,5712985.0,44.0,3120073.0,56276.0,21564.0,81.0,3224599.0,249823.0,0,2022
Hands,Hands,Dianï¿½,2022-08-01,GBKPL2205333,115,143.9,126914.0,1.0,2435813922.0,7208467.0,12735768.5,7832.0,3224599.0,295.0,0,2022
Saturn,Saturn - Single,SZA,2024-02-24,USRC12400216,117,142.8,343090427.0,87.0,38173339.0,349660.0,11441987.0,7496.0,166254.0,745798.0,0,2024
Chegou a Hora de Ir para Cama (Playback),3 Palavrinhas Vol.9 (Playback),3 Palavrinhas,2024-06-04,BXT622400190,118,142.4,239850720.0,67.0,39323383.0,44223.0,12735768.5,7832.0,3224599.0,854584.0,0,2024
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,2022-04-27,USSM12203789,120,141.0,787155930.0,77.0,357772653.0,2590835.0,182315884.0,53326.0,48937045.0,3534164.0,1,2022
I KNOW ?,UTOPIA,Travis Scott,2023-07-28,USSM12305012,121,139.5,532605345.0,81.0,97958347.0,1237197.0,6334599.0,8712.0,12785993.0,1861958.0,1,2023
ANDO,ANDO,Jere Klein,2023-09-27,QMDA72363047,122,139.0,292789738.0,72.0,406307035.0,809942.0,764473.0,5168.0,3224599.0,1195337.0,1,2023
First Class,First Class,Jack Harlow,2022-04-08,USAT22203024,123,138.6,818858244.0,71.0,231229581.0,2756840.0,117451442.0,40907.0,24111168.0,4244972.0,1,2022
FE!N,UTOPIA,Travis Scott,2023-07-28,USSM12305010,124,137.8,659010786.0,86.0,125203447.0,1990342.0,3029375.0,6510.0,14942955.0,1839283.0,1,2023
Save Your Tears - Live,After Hours (Live At SoFi Stadium),The Weeknd,2023-03-03,USUG12301493,125,137.7,3913988.0,40.0,1577017938.0,9304666.0,5260.0,7832.0,3224599.0,854584.0,1,2023
Losing Interest - Original Mix,Losing Interest (Original),Goovex,2024-06-10,CA5KR2465999,126,136.4,126247886.0,1.0,148269610.0,1257935.0,12735768.5,7832.0,3224599.0,854584.0,0,2024
MI EX TENï¿½ï¿½A RA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,2023-08-10,USUG12305253,128,136.2,438796949.0,78.0,509727241.0,2202866.0,38214505.0,9932.0,62622.0,865444.0,0,2023
Drained of Color,Drained of Color,Exhumed,2022-08-30,US2642250302,129,134.0,158627.0,16.0,2156140830.0,1257935.0,1132.0,7832.0,3224599.0,208.0,0,2022
Looking Like a Wow End of Year 2023,Looking Like a Wow,WasteLand,2023-12-10,GXBAV2381801,132,130.7,8327.0,67.0,148269610.0,1257935.0,12735768.5,7832.0,3224599.0,522.0,0,2023
Acrï¿½ï¿½s,Acrï¿½ï¿½stico - Si,Shakira,2023-05-11,USQX92302824,134,129.6,230849195.0,64.0,363082908.0,5135848.0,23525446.0,4705.0,3224599.0,623446.0,0,2023
Made You Look,Takin' It Back,Meghan Trainor,2022-10-21,USSM12204574,135,129.5,720720922.0,77.0,221078988.0,2557839.0,81828913.0,36462.0,3224599.0,3086624.0,0,2022
PHONK BRASILEIRO FRESCO (Slowed + Reverb),PHONK BRASILEIRO FRESCO,DJ MOIGUS,2023-06-22,QZMEQ2306756,136,129.4,1378494.0,34.0,1022331.0,22739.0,12735768.5,7832.0,3224599.0,50550.0,0,2023
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]","Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,2024-05-29,INS182401602,137,129.1,2827545.0,67.0,54330074.0,801621.0,12735768.5,7832.0,3224599.0,5620.0,0,2024
vampire,vampire,Olivia Rodrigo,2023-06-30,USUG12304091,138,128.9,998964097.0,18.0,113450524.0,2108657.0,28318435.0,67590.0,4296515.0,4872257.0,1,2023
Casca de Bala,A Cara das Vaquejadas 3.0,Thullio Milionï¿½ï¿,2024-03-01,BCAEW2400001,139,128.5,37157630.0,74.0,63418833.0,427441.0,12735768.5,7832.0,3224599.0,42895.0,0,2024
Back,Back,LOLA,2022-08-03,UKQNV2100272,140,128.0,48428.0,3.0,2123978358.0,5670850.0,12735768.5,7832.0,3224599.0,854584.0,0,2022
People,People - Single,Libianca,2022-12-05,QZTB52268087,141,127.8,631955547.0,74.0,305998382.0,2647341.0,9017480.0,11289.0,8026553.0,6121126.0,1,2022
Jedag Jedug Capcut 2024,Jedag Jedug Capcut 2024,Afrian Af,2024-01-05,ATR981312465,142,127.4,239850720.0,67.0,148269610.0,1257935.0,12735768.5,7832.0,3224599.0,854584.0,1,2024
Lady Killers II (Christoph Andersson Remix),Lady Killers II (Christoph Andersson Remix),G-Eazy,2024-03-17,TCAIA2495220,143,127.3,94635338.0,67.0,944314.0,17943.0,684557.0,1079.0,3224599.0,1597467.0,1,2024
I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,2024-04-05,UKWLG2400013,144,126.9,114574238.0,84.0,9134225.0,124326.0,4503872.0,442.0,422718.0,854584.0,0,2024
Abc,Abc,J Ross,2023-02-14,CLLU22300585,145,126.6,31867.0,1.0,1538564650.0,2066653.0,12735768.5,7832.0,3224599.0,1178.0,0,2023
ýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýý,FLI:P,2023-04-07,FRX282306294,147,125.4,8028757.0,44.0,48533758.0,399664.0,12735768.5,7832.0,3224599.0,220198.0,0,2023
PROVENZA,PROVENZA,KAROL G,2022-04-22,USUM72205906,151,123.8,1185929926.0,76.0,1229843060.0,5870729.0,92136339.0,29371.0,3224599.0,3397861.0,0,2022
WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,2020-08-07,USAT22005111,152,123.4,1325725696.0,72.0,1329826741.0,15965491.0,184950173.0,397731.0,3224599.0,4618794.0,1,2020
SPOT!,SPOT!,ZICO,2024-04-26,USA2P2421932,153,122.8,77757035.0,81.0,100148771.0,2531168.0,63300.0,98.0,3224599.0,173263.0,0,2024
Family Matters,Family Matters,Drake,2024-05-03,USUG12402984,154,122.7,72335127.0,86.0,41492122.0,1034563.0,3065493.0,2302.0,2401049.0,283217.0,1,2024
Again,Missing,Kurochuu,2024-06-09,CA5KR2466577,155,122.5,136237285.0,2.0,148269610.0,1257935.0,12735768.5,7832.0,3224599.0,854584.0,0,2024
Last Night,3 Songs At A Time Sampler,Morgan Wallen,2023-01-31,USUG12300802,157,121.9,922010059.0,79.0,141852059.0,567295.0,307115852.0,200650.0,13022144.0,2665347.0,1,2023
Too Sweet,Unreal Unearth: Unheard,Hozier,2024-03-22,IEACJ2300335,158,121.2,532012790.0,85.0,13119247.0,218957.0,12735768.5,7832.0,119813.0,2580089.0,0,2024
QLONA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,2023-08-10,USUG12305257,160,120.7,850810162.0,82.0,258553384.0,1174349.0,32210732.0,12492.0,3224599.0,1537093.0,1,2023
Leave The Door Open,Leave The Door Open,Bruno Mars,2021-03-05,USAT22100906,161,120.1,1312168384.0,75.0,993324548.0,9537455.0,149304590.0,91366.0,3224599.0,10288388.0,0,2021
ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý 3ýýýýýý ýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý(ýýýýýýýýýýýýýýý),2022-01-05,JPKI02118106,162,119.5,548408.0,24.0,1356336.0,17701.0,12735768.5,7832.0,3224599.0,69763.0,0,2022
DESPECHï¿,DESPECHï¿,ROSALï¿½,2022-07-28,USSM12207207,166,116.9,1003487432.0,73.0,621874255.0,2859234.0,40988020.0,6129.0,3224599.0,3205234.0,1,2022
Eyes Closed,Eyes Closed (Piano Version),Ed Sheeran,2023-03-23,GBAHS2201304,168,116.6,372423476.0,71.0,131308671.0,1074684.0,40613139.0,6969.0,3224599.0,2886987.0,0,2023
I Remember Everything (feat. Kacey Musgraves),I Remember Everything (feat. Kacey Musgraves),Zach Bryan,2023-08-24,USWB12304903,169,116.5,630373315.0,84.0,50938569.0,246731.0,147144967.0,33058.0,5597165.0,1673932.0,0,2023
EL AMOR DE SU VIDA,EL AMOR DE SU VIDA,Grupo Frontera,2023-08-03,DGA062382895,171,115.9,474590289.0,78.0,577930708.0,1569516.0,44676754.0,9094.0,774895.0,1173817.0,0,2023
About Damn Time,About Damn Time,Lizzo,2022-04-14,USAT22202139,172,115.6,847025688.0,66.0,106024874.0,1080393.0,12735768.5,7832.0,3224599.0,5445721.0,1,2022
FLOWER,ME,JISOO,2023-03-31,KRA402300002,174,114.3,440364356.0,70.0,525156884.0,10820829.0,1335366.0,3263.0,3224599.0,1058579.0,0,2023
PERRO NEGRO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,2023-10-13,QMFME2364199,175,114.2,689181455.0,83.0,183381482.0,738123.0,14039085.0,3684.0,2473108.0,930098.0,1,2023
Rich Baby Daddy (feat. Sexyy Red & SZA),For All The Dogs,Drake,2023-10-06,USUG12306085,176,113.2,372248119.0,67.0,86580734.0,1106306.0,19029194.0,36347.0,9898507.0,2131059.0,1,2023
LUNA,FERXXOCALIPSIS,Feid,2023-12-01,USUM72318216,178,112.6,606124553.0,86.0,166363445.0,1019744.0,1550124.0,1179.0,3224599.0,1704574.0,0,2023
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,2022-06-03,USUM72208023,179,112.5,827950825.0,73.0,299001099.0,2751490.0,150508004.0,31988.0,6459716.0,3384275.0,1,2022
Bones,Bones,Imagine Dragons,2022-03-11,USUM72201759,180,112.0,1227475431.0,78.0,584854654.0,6691488.0,124506820.0,66190.0,3224599.0,7031981.0,0,2022
Segï¿½ï¿½n Qu,Segï¿½ï¿½n Qu,Maluma,2023-08-17,USSD12300400,182,111.8,571366508.0,79.0,475200526.0,1369288.0,35912217.0,8715.0,46646.0,1703294.0,1,2023
Selfish,Selfish,Justin Timberlake,2024-01-25,USRC12400001,181,111.8,92932220.0,67.0,42581931.0,513055.0,28794637.0,6080.0,64503.0,1440935.0,0,2024
golden hour,golden hour,JVKE,2022-07-15,GBKPL2204171,183,111.4,1126986320.0,73.0,293553015.0,5388022.0,32611885.0,64225.0,14112455.0,3897680.0,0,2022
Get It Sexyy,Get It Sexyy,Sexyy Red,2024-03-15,QZSYP2454435,185,111.1,89362910.0,84.0,37676729.0,525264.0,10234988.0,14251.0,2263132.0,514293.0,1,2024
