track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_popularity,youtube_views,youtube_likes,pandora_streams,pandora_track_stations,soundcloud_streams,shazam_counts,explicit_track,release_year
Sabor Fresa,Sabor Fresa,Fuerza Regida,2023-06-22,QZ9QQ2300457,668,58.9,502536183.0,77.0,151406654.0,886902.0,36328828.0,10092.0,3224599.0,591279.0,1,2023
MON LOVE OHO,MON LOVE OHO,Liamsi,2023-04-07,QZMEV2363867,666,58.9,24215252.0,48.0,12381597.0,191468.0,12735768.5,7832.0,3224599.0,1389350.0,1,2023
Surround Sound (feat. 21 Savage & Baby Tate),Surround Sound (feat. 21 Savage & Baby Tate),JID,2022-01-14,USUM72123571,667,58.9,548724288.0,79.0,91605414.0,1539359.0,21017930.0,13817.0,12373470.0,5341857.0,1,2022
Feather,emails i canï¿½ï¿½ï¿½t send fwd,Sabrina Carpenter,2023-03-17,USUM72301876,673,58.8,488979989.0,84.0,88126911.0,1378287.0,14414933.0,5802.0,3224599.0,1261815.0,1,2023
Super Gremlin,Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies,Kodak Black,2021-10-30,USAT22107295,672,58.8,416955991.0,63.0,174009595.0,1640732.0,149887956.0,90700.0,3224599.0,2259867.0,1,2021
Natural,Natural,Imagine Dragons,2018-07-17,USUM71806694,674,58.8,1228556153.0,75.0,1220581919.0,10953316.0,269729654.0,148539.0,1145378.0,10463981.0,0,2018
La Triple M,La Triple M,Mawell,2023-06-02,QM6P42364524,671,58.8,44557662.0,59.0,88674781.0,431451.0,336332.0,689.0,3224599.0,497340.0,1,2023
OUT WEST (feat. Young Thug),JACKBOYS,JACKBOYS,2019-12-27,USSM11914988,675,58.8,709850383.0,70.0,75540671.0,750424.0,36432352.0,55187.0,3224599.0,3068690.0,1,2019
"Fear Song (From ""Devara Part 1"") [Tamil]","Fear Song (From ""Devara Part 1"") [Tamil]",Anirudh Ravichander,2024-05-19,INS182401563,677,58.7,945093.0,67.0,39278201.0,656672.0,12735768.5,7832.0,3224599.0,6139.0,0,2024
Papa,Papa,Lori,2022-11-24,CH6542286446,676,58.7,239850720.0,67.0,829051158.0,2899554.0,12735768.5,7832.0,3224599.0,854584.0,0,2022
